fecha,producto_id,nombre_producto,categoria,precio_unitario,stock_inicial,unidades_vendidas,devoluciones,stock_final,reposicion_este_mes,dias_sin_stock,trafico_tienda,promocion,evento_especial,tiempo_entrega_dias,mes,anio,reponer_proximo_mes
2021-01,1,Zapatilla Soft,zapatilla,32,34,8,2,28,26,0,282,0,0,6,1,2021,0
2021-01,2,Zapatilla Air,zapatilla,98,37,6,1,32,31,0,199,0,0,5,1,2021,0
2021-01,3,Deportiva Urban,deportiva,64,57,15,1,43,42,0,120,0,1,4,1,2021,0
2021-01,4,Zapatilla Verano,zapatilla,32,18,8,2,12,10,0,86,1,0,6,1,2021,28
2021-01,5,Mocasin Soft,mocasin,79,19,15,1,5,4,0,52,0,0,4,1,2021,35
2021-01,6,Bota Urban,bota,88,23,4,1,20,19,0,210,0,1,5,1,2021,0
2021-01,7,Deportiva Retro,deportiva,98,45,22,1,24,23,0,65,0,1,2,1,2021,0
2021-01,8,Bota Clásica,bota,48,42,14,0,28,28,0,100,0,1,1,1,2021,0
2021-01,9,Deportiva Sport,deportiva,37,53,10,2,45,43,0,132,0,0,7,1,2021,0
2021-01,10,Bota Urban,bota,30,38,20,1,19,18,0,207,0,1,4,1,2021,21
2021-01,11,Deportiva Trail,deportiva,38,17,17,0,0,0,0,103,1,0,4,1,2021,40
2021-01,12,Mocasin Air,mocasin,71,43,21,0,22,22,0,222,1,0,6,1,2021,0
2021-01,13,Mocasin Trail,mocasin,83,22,16,1,7,6,0,77,1,0,6,1,2021,33
2021-01,14,Deportiva Clásica,deportiva,42,14,14,0,0,0,3,101,1,0,1,1,2021,40
2021-01,15,Zapatilla Trail,zapatilla,75,13,9,1,5,4,0,237,0,0,7,1,2021,35
2021-01,16,Zapatilla Clásica,zapatilla,86,29,10,2,21,19,0,151,0,0,1,1,2021,0
2021-01,17,Mocasin Trail,mocasin,59,57,0,2,59,57,0,89,0,0,4,1,2021,0
2021-01,18,Bota Verano,bota,88,16,16,0,0,0,1,240,1,1,3,1,2021,40
2021-01,19,Sandalia Invierno,sandalia,97,55,2,1,54,53,0,158,0,0,3,1,2021,0
2021-01,20,Bota Air,bota,62,14,6,1,9,8,0,300,1,0,1,1,2021,31
2021-01,21,Bota Dynamic,bota,38,57,21,0,36,36,0,215,1,1,3,1,2021,0
2021-01,22,Zapatilla Dynamic,zapatilla,85,25,12,2,15,13,0,114,0,0,6,1,2021,25
2021-01,23,Bota Urban,bota,52,60,26,2,36,34,0,141,1,0,5,1,2021,0
2021-01,24,Deportiva Verano,deportiva,79,20,11,0,9,9,0,152,1,0,4,1,2021,31
2021-01,25,Sandalia Urban,sandalia,73,48,1,2,49,47,0,231,0,0,6,1,2021,0
2021-01,26,Deportiva Trail,deportiva,34,47,15,2,34,32,0,75,0,1,3,1,2021,0
2021-01,27,Bota Dynamic,bota,62,10,10,1,1,0,0,232,0,1,3,1,2021,39
2021-01,28,Sandalia Urban,sandalia,99,47,23,1,25,24,0,270,1,0,3,1,2021,0
2021-01,29,Deportiva Air,deportiva,94,32,11,2,23,21,0,101,1,0,2,1,2021,0
2021-01,30,Mocasin Sport,mocasin,63,54,7,2,49,47,0,78,1,0,1,1,2021,0
2021-02,1,Zapatilla Soft,zapatilla,32,38,14,0,24,24,0,108,0,1,6,2,2021,0
2021-02,2,Zapatilla Air,zapatilla,98,25,11,1,15,14,0,101,0,0,1,2,2021,25
2021-02,3,Deportiva Urban,deportiva,64,11,7,1,5,4,0,241,1,0,3,2,2021,35
2021-02,4,Zapatilla Verano,zapatilla,32,12,3,0,9,9,0,176,0,0,6,2,2021,31
2021-02,5,Mocasin Soft,mocasin,79,52,16,0,36,36,0,112,1,0,6,2,2021,0
2021-02,6,Bota Urban,bota,88,26,5,1,22,21,0,247,0,0,1,2,2021,0
2021-02,7,Deportiva Retro,deportiva,98,56,25,1,32,31,0,54,1,0,5,2,2021,0
2021-02,8,Bota Clásica,bota,48,16,7,2,11,9,0,167,0,0,4,2,2021,29
2021-02,9,Deportiva Sport,deportiva,37,10,7,1,4,3,0,196,1,0,3,2,2021,36
2021-02,10,Bota Urban,bota,30,34,11,0,23,23,0,71,0,0,7,2,2021,0
2021-02,11,Deportiva Trail,deportiva,38,27,14,0,13,13,0,286,0,0,1,2,2021,27
2021-02,12,Mocasin Air,mocasin,71,54,8,2,48,46,0,126,0,0,1,2,2021,0
2021-02,13,Mocasin Trail,mocasin,83,37,6,2,33,31,0,299,0,0,3,2,2021,0
2021-02,14,Deportiva Clásica,deportiva,42,56,9,2,49,47,0,271,0,0,1,2,2021,0
2021-02,15,Zapatilla Trail,zapatilla,75,43,3,0,40,40,0,208,0,1,6,2,2021,0
2021-02,16,Zapatilla Clásica,zapatilla,86,54,28,0,26,26,0,174,0,0,6,2,2021,0
2021-02,17,Mocasin Trail,mocasin,59,24,21,1,4,3,0,208,1,0,2,2,2021,36
